Time,Relative time [d],Relative time [h],CO2 %,CH4 %,H2 %,N2 %,H2S %,Tubing pressure,Gas temperature [C°],Flow rate [Nm3/h],Phase of the field trail,Cummulative volume of gas injected and produced respectively [Nm3]
31.03.2016 09:00,0.041666667,1,0.18,88.13,9.66,0.44,0,37.03965,25,800,Injection,800
31.03.2016 10:00,0.083333333,2,0.18,87.93,9.76,0.45,0,37.03965,25,705,Injection,1505
31.03.2016 11:00,0.125,3,0.18,87.68,9.79,0.45,0,37.03965,26,698,Injection,2203
31.03.2016 12:00,0.166666667,4,0.18,87.44,9.77,0.44,0,37.03965,27,700,Injection,2903
31.03.2016 13:00,0.208333333,5,0.18,87.21,9.84,0.44,0,37.03965,27,638,Injection,3541
31.03.2016 14:00,0.25,6,0.18,86.88,10.09,0.44,0,37.03965,28,447,Injection,3988
31.03.2016 15:00,0.291666667,7,0.18,86.95,9.91,0.44,0,37.06175,28,571,Injection,4559
31.03.2016 16:00,0.333333333,8,0.18,87.24,9.65,0.44,0,37.54239,29,850,Injection,5409
31.03.2016 17:00,0.375,9,0.18,87.32,9.68,0.44,0,37.54239,30,850,Injection,6259
31.03.2016 18:00,0.416666667,10,0.18,87.48,9.66,0.44,0,37.54239,30,850,Injection,7109
31.03.2016 19:00,0.458333333,11,0.18,87.57,9.65,0.44,0,37.54239,28,850,Injection,7959
31.03.2016 20:00,0.5,12,0.18,87.68,9.64,0.45,0,37.54239,26,850,Injection,8809
31.03.2016 21:00,0.541666667,13,0.18,87.79,9.63,0.44,0,37.54239,26,850,Injection,9659
31.03.2016 22:00,0.583333333,14,0.18,87.89,9.63,0.45,0,37.54239,25,850,Injection,10509
31.03.2016 23:00,0.625,15,0.18,87.96,9.62,0.45,0,37.54239,26,850,Injection,11359
01.04.2016 00:00,0.666666667,16,0.18,87.95,9.61,0.44,0,37.76837,27,850,Injection,12209
01.04.2016 01:00,0.708333333,17,0.18,87.98,9.6,0.45,0,38.04512,27,850,Injection,13059
01.04.2016 02:00,0.75,18,0.18,87.97,9.6,0.44,0,38.04512,28,850,Injection,13909
01.04.2016 03:00,0.791666667,19,0.18,87.99,9.58,0.45,0,38.04512,28,850,Injection,14759
01.04.2016 04:00,0.833333333,20,0.18,88.02,9.57,0.45,0,38.04512,27,850,Injection,15609
01.04.2016 05:00,0.875,21,0.18,88.04,9.57,0.45,0,38.04512,27,850,Injection,16459
01.04.2016 06:00,0.916666667,22,0.18,88.05,9.56,0.44,0,38.04512,27,850,Injection,17309
01.04.2016 07:00,0.958333333,23,0.18,88.04,9.61,0.44,0,38.04512,27,777,Injection,18086
01.04.2016 11:00,1.125,27,0.18,87.88,9.9,0.45,0,38.04204,21,451,Injection,18537
01.04.2016 12:00,1.166666667,28,0.18,87.83,10.02,0.44,0,38.03427,20,449,Injection,18986
01.04.2016 13:00,1.208333333,29,0.18,87.9,10.04,0.45,0,38.03427,20,450,Injection,19436
01.04.2016 14:00,1.25,30,0.18,87.93,10.07,0.45,0,38.03427,20,450,Injection,19886
01.04.2016 15:00,1.291666667,31,0.18,87.94,10.06,0.44,0,38.03427,20,450,Injection,20336
01.04.2016 16:00,1.333333333,32,0.18,88,10.05,0.45,0,38.03427,21,450,Injection,20786
01.04.2016 17:00,1.375,33,0.18,88.07,10.05,0.44,0,38.09009,22,450,Injection,21236
01.04.2016 18:00,1.416666667,34,0.18,88.19,9.99,0.45,0,38.13554,21,450,Injection,21686
01.04.2016 19:00,1.458333333,35,0.18,88.29,9.95,0.45,0,38.13554,21,450,Injection,22136
01.04.2016 20:00,1.5,36,0.18,88.33,9.95,0.45,0,38.13554,20,450,Injection,22586
01.04.2016 21:00,1.541666667,37,0.18,88.37,9.93,0.45,0,38.13554,20,450,Injection,23036
01.04.2016 22:00,1.583333333,38,0.18,88.38,9.93,0.45,0,38.13554,20,450,Injection,23486
01.04.2016 23:00,1.625,39,0.18,88.37,9.93,0.45,0,38.13554,19,450,Injection,23936
02.04.2016 00:00,1.666666667,40,0.18,88.39,9.9,0.45,0,38.18736,19,451,Injection,24387
02.04.2016 01:00,1.708333333,41,0.18,88.4,9.9,0.46,0,38.23681,19,450,Injection,24837
02.04.2016 02:00,1.75,42,0.17,88.43,9.88,0.45,0,38.23681,18,450,Injection,25287
02.04.2016 03:00,1.791666667,43,0.17,88.42,9.87,0.45,0,38.23681,18,450,Injection,25737
02.04.2016 04:00,1.833333333,44,0.17,88.43,9.85,0.45,0,38.23681,18,450,Injection,26187
02.04.2016 05:00,1.875,45,0.17,88.41,9.85,0.45,0,38.23681,18,450,Injection,26637
02.04.2016 06:00,1.916666667,46,0.17,88.43,9.84,0.45,0,38.25465,18,450,Injection,27087
02.04.2016 07:00,1.958333333,47,0.17,88.44,9.84,0.46,0,38.33808,18,450,Injection,27537
02.04.2016 08:00,2,48,0.17,88.5,9.83,0.46,0,38.33808,18,450,Injection,27987
02.04.2016 09:00,2.041666667,49,0.17,88.55,9.85,0.45,0,38.33808,18,450,Injection,28437
02.04.2016 10:00,2.083333333,50,0.17,88.52,9.89,0.45,0,38.33808,19,449,Injection,28886
02.04.2016 11:00,2.125,51,0.17,88.33,9.98,0.45,0,38.34844,20,450,Injection,29336
02.04.2016 12:00,2.166666667,52,0.17,88.14,10.01,0.45,0,38.43935,22,450,Injection,29786
02.04.2016 13:00,2.208333333,53,0.17,87.99,9.99,0.45,0,38.43935,22,451,Injection,30237
02.04.2016 14:00,2.25,54,0.17,87.83,9.98,0.44,0,38.43935,23,450,Injection,30687
02.04.2016 15:00,2.291666667,55,0.17,87.76,9.95,0.44,0,38.43935,24,450,Injection,31137
02.04.2016 16:00,2.333333333,56,0.17,87.82,9.99,0.45,0,38.43935,24,450,Injection,31587
02.04.2016 17:00,2.375,57,0.17,87.91,10.02,0.44,0,38.48251,24,450,Injection,32037
02.04.2016 18:00,2.416666667,58,0.17,87.96,10.03,0.45,0,38.54062,23,450,Injection,32487
02.04.2016 19:00,2.458333333,59,0.17,88.05,10.02,0.45,0,38.54062,23,450,Injection,32937
02.04.2016 20:00,2.5,60,0.17,88.18,10,0.45,0,38.54062,23,450,Injection,33387
02.04.2016 21:00,2.541666667,61,0.17,88.27,9.97,0.45,0,38.54062,23,450,Injection,33837
02.04.2016 22:00,2.583333333,62,0.17,88.31,9.95,0.45,0,38.54062,23,450,Injection,34287
02.04.2016 23:00,2.625,63,0.18,88.3,9.94,0.44,0,38.54062,23,450,Injection,34737
03.04.2016 00:00,2.666666667,64,0.18,88.34,9.9,0.45,0,38.59779,22,450,Injection,35187
03.04.2016 01:00,2.708333333,65,0.18,88.33,9.88,0.45,0,38.64189,22,450,Injection,35637
03.04.2016 02:00,2.75,66,0.18,88.35,9.85,0.45,0,38.64189,21,450,Injection,36087
03.04.2016 03:00,2.791666667,67,0.18,88.36,9.81,0.45,0,38.64189,21,450,Injection,36537
03.04.2016 04:00,2.833333333,68,0.18,88.37,9.8,0.45,0,38.64189,20,450,Injection,36987
03.04.2016 05:00,2.875,69,0.18,88.4,9.76,0.45,0,38.64189,19,450,Injection,37437
03.04.2016 06:00,2.916666667,70,0.18,88.42,9.74,0.44,0,38.64189,19,450,Injection,37887
03.04.2016 07:00,2.958333333,71,0.18,88.44,9.75,0.44,0,38.73704,19,450,Injection,38337
03.04.2016 08:00,3,72,0.18,88.38,9.78,0.45,0,38.74316,20,450,Injection,38787
03.04.2016 09:00,3.041666667,73,0.18,88.36,9.79,0.44,0,38.74316,21,449,Injection,39236
