days_total;days_rel;position;date;p_bar;time;H2 ;CH4 ;CO2;p_H2;p_CH4;p_CO2;delta_p_sampling;delta_p_abio;normalized_p;mesocosm;cycle
0;0;Start;13/12/2016;45;NA;10.06;87.53;2.41;4.527;39.3885;1.0845;4.5;0;45.000;1;1
6;6;End;19/12/2016;40.08;NA;0.48;99.48;0.03;0.19477684;40.36750014;0.012173553;4.5;0.498508386;40.579;1;1
6;0;Start;19/12/2016;44.09;NA;9.78;87.87;2.34;4.312002;38.741883;1.031706;4.41;0;44.090;1;2
9;3;End;22/12/2016;40.06;NA;1.84;97.96;0.2;0.743710057;39.59447674;0.08083805;4.41;0.359024849;40.419;1;2
9;0;Start;22/12/2016;44.69;NA;9.81;87.84;2.35;4.384089;39.255696;1.050215;4.47;0;44.690;1;3
23;14;End;01.05.2017;39.8;NA;0;99.81;0.19;0;40.63487935;0.077353242;4.47;0.912232587;40.712;1;3
23;0;Start;01.05.2017;44.19;NA;10.22;87.45;2.33;4.516218;38.644155;1.029627;4.42;0;44.190;1;4
30;7;End;01.12.2017;39.41;NA;0;99.97;0.03;0;39.96517898;0.011993152;4.42;0.56717213;39.977;1;4
30;0;Start;01.12.2017;43.87;NA;9.84;87.82;2.35;4.316808;38.526634;1.030945;4.39;0;43.870;1;5
37;7;End;19/01/2017;39.27;NA;0.06;99.91;0.03;0.023902303;39.80131868;0.011951152;4.39;0.56717213;39.837;1;5
37;0;Start;19/01/2017;44.29;NA;9.82;87.85;2.33;4.349278;38.908765;1.031957;4.43;0;44.290;1;6
43;6;End;25/01/2017;39.78;NA;0.35;99.62;0.03;0.140974779;40.12545005;0.012083553;4.43;0.498508386;40.279;1;6
43;0;Start;25/01/2017;43.12;NA;9.82;87.84;2.34;4.234384;37.876608;1.009008;4.31;0;43.120;1;7
58;15;End;02.09.2017;38.43;NA;0;99.86;0.14;0;39.2747798;0.055061778;4.31;0.899841578;39.330;1;7
0;0;Start;13/12/2016;44.66;NA;10.11;87.45;2.44;4.515126;39.05517;1.089704;4.466;0;44.660;2;1
6;6;End;19/12/2016;39.74;NA;0.58;99.42;0;0.233383349;40.00512504;0;4.466;0.498508386;40.239;2;1
6;0;Start;19/12/2016;43.56;NA;9.98;87.63;2.39;4.347288;38.171628;1.041084;4.356;0;43.560;2;2
9;3;End;22/12/2016;39.8;NA;3.12;96.51;0.38;1.252961575;38.75747488;0.152604294;4.356;0.359024849;40.159;2;2
9;0;Start;22/12/2016;43.78;NA;9.86;87.72;2.42;4.316708;38.403816;1.059476;4.378;0;43.780;2;3
23;14;End;01.05.2017;38.76;NA;0;99.8;0.2;0;39.59288812;0.079344465;4.378;0.912232587;39.672;2;3
23;0;Start;01.05.2017;43.76;NA;10.14;87.54;2.33;4.437264;38.307504;1.019608;4.376;0;43.760;2;4
30;7;End;01.12.2017;38.98;NA;0.48;99.52;0;0.189826426;39.3573457;0;4.376;0.56717213;39.547;2;4
30;0;Start;01.12.2017;43.88;NA;9.71;87.96;2.32;4.260748;38.596848;1.018016;4.388;0;43.880;2;5
37;7;End;19/01/2017;39.23;NA;0.15;99.85;0;0.059695758;39.73747637;0;4.388;0.56717213;39.797;2;5
37;0;Start;19/01/2017;44.36;NA;9.81;87.82;2.37;4.351716;38.956952;1.051332;4.436;0;44.360;2;6
43;6;End;25/01/2017;39.71;NA;0.73;99.24;0.03;0.293522111;39.90292372;0.012062553;4.436;0.498508386;40.209;2;6
43;0;Start;25/01/2017;41;NA;9.6;88.12;2.28;3.936;36.1292;0.9348;4.1;0;41.000;2;7
58;15;End;02.09.2017;36.46;NA;0;99.82;0.18;0;36.97631101;0.066677379;4.1;0.582988385;37.043;2;7
0;0;Start;29/08/2017;44.59;NA;10.17;87.35;2.48;4.534803;38.949365;1.105832;4.46;0;44.590;3;1
15;15;End;13/09/2017;39.13;NA;0;99.9;0.1;0;39.98981174;0.040029842;4.46;0.899841578;40.030;3;1
